Time Pressure
0 100.57
1 101.52
2 101.45
3 100.90
4 100.35
5 102.11
6 102.28
7 100.34
8 101.91
9 100.66
10 101.95
11 101.18
12 102.09
13 101.38
14 101.57
15 100.90
16 101.93
17 101.45
18 101.98
19 102.01
20 100.70
21 100.52
22 100.63
23 100.47
24 102.05
25 100.70
26 101.54
27 101.76
28 100.82
29 101.10
30 102.00
31 101.90
32 100.68
33 101.74
34 101.20
35 102.15
36 100.68
37 100.53
38 101.10
39 101.72
40 102.07
41 101.54
42 101.79
43 101.94
44 100.94
45 100.57
46 101.08
47 100.63
48 101.48
49 100.36
50 101.36
51 101.57
52 100.35
53 100.39
54 101.86
55 101.74
56 101.93
57 100.84
58 102.22
59 102.03
60 100.56
61 100.63
62 101.43
63 102.13
64 100.62
65 101.02
66 100.71
67 101.44
68 101.15
69 101.74
70 100.52
71 102.10
72 101.16
73 101.53
74 101.59
75 100.96
76 101.12
77 100.56
78 101.01
79 101.55
80 101.54
81 100.50
82 100.97
83 100.96
84 101.01
85 100.40
86 101.82
87 101.46
88 101.74
89 101.08
90 101.67
91 101.44
92 100.34
93 101.77
94 100.97
95 102.14
96 101.71
97 101.09
98 102.18
99 101.31
